ID;Location;Date;IC
A010;Tiputa;XX/08/2017;
A011;Tiputa;27/12/2007;
A011;Tiputa;14/02/2010;
A011;Tiputa;06/02/2022;
A011;Tiputa;18/03/2022;
A012;Tiputa;13/09/2020;
A013;Tiputa;05/08/2017;
A014;Tiputa;19/09/2007;
A014;Tiputa;21/09/2015;
A014;Tiputa;26/09/2015;
A014;Tiputa;08/08/2018;
A014;Tiputa;13/06/2025;
A014;Tiputa;14/08/2025;
A015;Tiputa/Avatoru;23/11/2008;
A015;Tiputa/Avatoru;29/12/2009;
A015;Tiputa/Avatoru;11/03/2010;
A016;Tiputa;25/12/2018;
A017;Tiputa;07/10/2017;
A017;Tiputa;26/10/2018;
A019;Tiputa;25/08/2019;
A018;Tiputa;26/09/2012;
A018;Tiputa;11/09/2014;
A020;Tiputa;07/08/2020;
A021;Avatoru;13/10/2006;
A022;Tiputa;06/01/2007;
A023;Tiputa;20/08/2019;
A023;Tiputa;25/08/2019;
A024;Tiputa;26/01/2010;
A024;Tiputa;20/08/2019;
A025;Tiputa;22/08/2019;
A025;Tiputa;20/08/2019;
A026;Tiputa;24/01/2008;
A027;Tikehau;18/10/2017;
A028;Tiputa;15/09/2018;
A029;Tiputa;22/10/2009;
A030;Tiputa;19/06/2018;
A030;Tiputa;04/10/2018;
A031;Tiputa;07/09/2010;
A032;Tiputa;26/12/2018;
A033;Tiputa;09/04/2019;
A034;Tiputa;12/01/2017;
A035;Tiputa;06/01/2019;
A035;Tiputa;28/12/2020;
A035;Tiputa;10/08/2022;
A035;Tiputa;15/12/2022;
A035;Tiputa;06/03/2025;
A036;Tiputa;26/12/2016;
A037;Tiputa;19/01/2018;
A038;Tiputa;25/09/2017;
A039;Tiputa;03/01/2018;
A040;Tiputa;20/01/2018;
A040;Tiputa;XX/01/2018;
A041;Tiputa;09/03/2018;
A041;Tiputa;18/03/2025;
A042;Tiputa;20/04/2018;
A043;Tiputa;10/01/2016;
A044;Tiputa;17/12/2007;
A045;Tiputa;19/12/2007;
MO01;Tiputa;XX/01/2017;
MO01;Tiputa;21/09/2017;
MO01;Tiputa;28/04/2020;
MO01;Tiputa;XX/01/2021;
MO01;Tiputa;24/06/2021;
MO01;Tiputa;25/12/2021;
MO01;Tiputa;22/06/2022;
MO01;Tiputa;26/07/2022;
MO01;Tiputa;01/08/2022;
MO01;Tiputa;03/11/2021;
MO01;Tiputa;18/02/2019;
MO01;Tiputa;07/02/2022;
MO01;Tiputa;03/01/2023;
MO01;Tiputa;16/01/2023;
MO01;Tiputa;08/02/2023;
MO01;Tiputa;11/02/2023;
MO01;Tiputa;14/02/2023;
MO01;Tiputa;17/02/2023;
MO01;Tiputa;12/03/2023;
MO01;Tiputa;15/03/2023;
MO01;Tiputa;23/07/2023;
MO01;Tiputa;25/12/2023;
MO01;Tiputa;27/12/2023;
MO01;Tiputa;03/01/2024;
MO01;Tiputa;19/01/2024;
MO01;Tiputa;13/12/2024;
MO02;Tiputa;22/07/2021;
MO02;Tiputa;15/02/2021;
MO02;Tiputa;05/10/2021;
MO02;Tiputa;07/03/2023;
MO03;Tiputa;13/08/2010;
MO03;Tiputa;10/09/2021;
MO04;Tiputa;13/09/2021;
MO05;Tiputa;03/08/2021;
MO06;Tiputa;24/09/2021;
MO07;Tiputa/Avatoru;25/09/2021;
MO07;Tiputa/Avatoru;10/11/2018;
MO08;Tiputa;26/09/2021;
MO09;Tiputa;20/10/2021;
MO09;Tiputa;21/09/2024;
MO11;Tiputa;26/10/2021;
MO13;Tiputa;10/04/2018;
MO13;Tiputa;19/11/2021;
MO14;Tiputa;08/12/2021;
MO14;Tiputa;07/10/2017;
MO15;Tiputa;12/11/2021;
MO16;Tiputa;18/12/2016;
MO16;Tiputa;14/01/2017;
MO16;Tiputa;15/12/2021;
MO16;Tiputa;21/09/2017;
MO16;Tiputa;18/04/2019;
MO16;Tiputa;28/12/2023;
MO16;Tiputa;30/12/2023;
MO16;Tiputa;23/01/2024;
MO17;Tiputa;14/12/2021;
MO17;Tiputa;27/12/2023;
MO18;Fakarava;08/07/2021;
MO18;Fakarava;17/12/2025;
MO19;Tiputa;06/09/2022;
O001;Tiputa;26/12/2022;
O002;Tiputa;03/01/2023;
O002;Tiputa;10/01/2023;
O002;Tiputa;13/02/2023;
O002;Tiputa;16/02/2023;
O003;Tiputa;03/01/2023;
O004;Tiputa;08/03/2023;
O004;Tiputa;06/03/2023;
O004;Tiputa;10/03/2023;
O004;Tiputa;22/01/2024;
O004;Tiputa;23/01/2024;
O004;Tiputa;24/01/2024;
O004;Tiputa;25/01/2024;
O004;Tiputa;26/01/2024;
O005;Tiputa;10/01/2023;
O006;Tiputa;11/01/2023;
O007;Tiputa;24/01/2023;
O007;Tiputa;15/02/2023;
O007;Tiputa;27/02/2023;
O007;Tiputa;16/02/2024;
O008;Tiputa;31/01/2023;
O008;Tiputa;04/03/2023;
O009;Tiputa;07/02/2023;
O009;Tiputa;10/02/2023;
O010;Tiputa;11/02/2023;
O010;Tiputa;21/02/2023;
O011;Tiputa;15/02/2023;
O011;Tiputa;02/03/2023;
O011;Tiputa;04/03/2023;
O011;Tiputa;08/03/2023;
O012;Tiputa;16/02/2023;
O013;Tiputa;18/02/2023;
O013;Tiputa;24/03/2024;
O013;Tiputa;08/02/2025;
O013;Tiputa;28/12/2018;
O014;Tiputa;24/02/2023;
O014;Tiputa;09/03/2022;
O014;Tiputa;16/03/2022;
O015;Tiputa;02/03/2023;
O015;Tiputa;04/03/2023;
O016;Tiputa;05/02/2023;
O016;Tiputa;11/03/2023;
O016;Tiputa;10/03/2023;
O016;Tiputa;27/12/2023;
O016;Tiputa;28/12/2023;
O016;Tiputa;30/12/2023;
O017;Tiputa;16/03/2023;
O018;Tikehau;08/02/2023;
O018;Tikehau;09/02/2023;
O018;Tikehau;25/03/2023;
O018;Tikehau;20/02/2023;
V001;Tiputa;23/12/2023;
V002;Tiputa;26/12/2023;
V003;Tiputa;27/12/2023;
V003;Tiputa;22/12/2023;
V004;Tiputa;28/12/2023;
V005;Tiputa;27/12/2023;
V005;Tiputa;30/12/2023;
V006;Tiputa;31/12/2023;
V007;Tiputa;04/01/2024;
V008;Tiputa;20/01/2024;
V009;Tiputa;30/12/2023;
V009;Tiputa;22/01/2024;
V009;Tiputa;24/01/2024;
V010;Tiputa;22/01/2024;
V010;Tiputa;25/01/2024;
V011;Tiputa;20/12/2023;
V011;Tiputa;24/01/2024;
V012;Tiputa;27/01/2024;
V013;Tiputa;31/01/2024;
V014;Tiputa;01/02/2024;
V014;Tiputa;26/07/2023;
V015;Tiputa;06/02/2024;
V016;Tiputa;21/02/2024;
V018;Tiputa;22/03/2024;
V019;Tiputa;22/03/2024;
V020;Tiputa;24/03/2024;
V021;Toau;26/10/2023;
T001;Tikehau;22/09/2024;
T002;Tiputa;24/12/2024;
T002;Tiputa;22/12/2024;
T003;Tiputa;05/02/2025;
T004;Tiputa;08/02/2025;
T004;Tiputa;13/02/2025;
T005;Tikehau;25/01/2025;
T005;Tikehau;06/03/2025;
T006;Tikehau;28/01/2025;
T006;Tikehau;05/03/2025;
T006;Tikehau;07/03/2025;
T007;Tiputa;09/09/2024;
T008;Tiputa;22/12/2024;
T009;Tikehau;06/03/2025;
T010;Tikehau/Rangiroa;28/01/2025;
T010;Tikehau/Rangiroa;08/08/2025;
T011;Tikehau;07/03/2025;
T012;Tiputa;04/01/2025;
T013;Tiputa;21/02/2025;
T014;Toau;21/03/2025;
